avg_gain,product_name
2.4261755741127344,Faux Products Toothpaste
2.4152087272727272,Carlson Strawberry Yogurt
2.3999466135458167,Colossal Thai Rice
2.3966475054229934,Cormorant Copper Pot Scrubber
2.3953511194029851,Booker Strawberry Yogurt
2.3911141221374046,Consolidated 200 MG Ibuprofen
2.3902860125260958,Denny Paper Towels
2.3890494929006088,Bravo Chicken Soup
2.3885703275529862,Golden Popsicles
2.3859113300492609,Carlson Head Cheese
2.3811472392638038,Best Choice Chocolate Chip Cookies
2.376529861111111,Better Chicken Soup
2.3754585937499999,Carlson Mild Cheddar Cheese
2.3750070175438598,Denny 75 Watt Lightbulb
2.3745776937618146,Super Strawberry Jam
2.3640034482758621,Consolidated Childrens Aspirin
2.3608393013100439,Denny Plastic Knives
2.3583205980066446,Fabulous Strawberry Drink
2.357213793103448,Horatio Frosted Cookies
2.355756505576208,PigTail Low Fat French Fries
2.3534794411177646,Nationeel Low Fat Popcorn
2.3532517241379307,Pleasant Canned Yams
2.3527589219330856,Hermanos New Potatos
2.3521391003460206,Hermanos Lemons
2.3469487001733103,Big Time Beef TV Dinner
2.3444205298013245,Moms Foot-Long Hot Dogs
2.3429432188065098,Great Rye Bread
2.3425901467505241,Club Havarti Cheese
2.3421063097514336,Imagine Frozen Carrots
2.3416460416666665,Denny AA-Size Batteries
2.3410159784560141,Good White Zinfandel Wine
2.3409124149659863,Even Better Large Curd Cottage Cheese
2.3396934653465347,Fort West Apple Fruit Roll
2.3384586206896554,Tri-State Red Pepper
2.3372300518134717,Modell Rye Bread
2.3353704414587333,Gorilla Jack Cheese
2.3339493333333334,Fort West BBQ Potato Chips
2.3334521126760563,Cormorant Room Freshener
2.3310866537717603,Club Blueberry Yogurt
2.3299601750547043,Denny C-Size Batteries
2.3294368932038836,Medalist Spaghetti
2.3276683636363638,Nationeel Potato Chips
2.3276533333333336,Horatio No Salt Popcorn
2.3273116600790513,Golden Ice Cream Sandwich
2.3266909090909089,Lake Pimento Loaf
2.3240790697674418,Hermanos Green Pepper
2.3232754677754679,PigTail Frozen Chicken Wings
2.3193527454242928,High Top New Potatos
2.31826244813278,Just Right Creamed Corn
2.3114862523540491,Golden Orange Popsicles
2.3092641818181816,Imagine Waffles
2.3084434210526315,Blue Label Canned Peas
2.3058000000000001,Horatio Low Fat Chips
2.3056020599250933,Bravo Fancy Canned Clams
2.3043872798434442,Best Choice Potato Chips
2.3043268085106381,Jumbo Large Eggs
2.2963200000000001,Faux Products Buffered Aspirin
2.2962496153846153,Fast Sugar Cookies
2.2961128630705394,Giant Large Brown Eggs
2.2924904867256637,Cormorant Toilet Bowl Cleaner
2.2914353463587922,Portsmouth Light Beer
2.2852180970149254,Denny Frying Pan
2.2838792706333972,Red Wing Copper Cleaner
2.2827074074074076,Imagine Popsicles
2.2827042769857435,Landslide Apple Jelly
2.2761089147286819,High Top Dried Mushrooms
2.2744399999999998,Horatio Sugar Cookies
2.2701454545454545,Blue Label Canned Beets
2.2686342052313884,Red Spade Beef Bologna
2.2652086021505373,Walrus Chardonnay
2.2645709219858157,Gauss Monthly Sports Magazine
2.2597601503759397,Cormorant Frying Pan
2.2561188000000003,High Quality Copper Cleaner
2.2557727447216891,Fast Cheese Crackers
2.2552664596273289,Great Pumpernickel Bread
2.2540482954545453,Carlson Muenster Cheese
2.2535049723756906,Hermanos Prepared Salad
2.2459886178861788,Fast Corn Chips
2.2437235632183907,Tell Tale Golden Delcious Apples
2.2381772455089823,National Egg Substitute
2.2371408829174664,Golden Frozen Cauliflower
2.2365768292682926,Fast Dried Dates
2.2349134328358211,High Top Limes
2.2333585284280937,Tell Tale Cantelope
2.2327473684210526,Just Right Rice Soup
2.2318289108910889,Imagine Low Fat French Fries
2.2296780399274048,Urban Small Eggs
2.2272036144578315,Skinner Diet Soda
2.2271607431340872,Red Wing Plastic Knives
2.2253520446096653,James Bay Eyeglass Screwdriver
2.2234441767068276,High Quality Paper Plates
2.2226574585635359,Cormorant Paper Cups
2.2223995918367345,Better Regular Ramen Soup
2.2220546448087428,Big Time Frozen Chicken Wings
2.2211162162162159,Carrington Turkey TV Dinner
2.2202442990654205,Plato Tomato Sauce
2.2197168,Best Choice Sugar Cookies
2.2175430795847753,Carrington Frozen Mushroom Pizza
2.2102170863309349,Big Time Apple Cinnamon Waffles
2.2037942857142858,Tell Tale Almonds
2.2033849315068492,Gorilla 2% Milk
2.2028555118110238,Excel Monthly Auto Magazine
2.1970615384615386,Super Extra Chunky Peanut Butter
2.1930969479353681,Denny 100 Watt Lightbulb
2.1881118518518519,Quick Seasoned Hamburger
2.1854611398963733,Thresher Spicy Mints
2.1851587649402386,Blue Medal Large Eggs
2.18405,Medalist Rice Medly
2.1833041322314046,BBB Best Apple Preserves
2.1827814960629923,PigTail Frozen Corn
2.1816539019963703,Red Wing AAA-Size Batteries
2.1804312297734629,Horatio Fudge Cookies
2.1791809145129224,Tip Top Scallops
2.173487027027027,Tell Tale Fuji Apples
2.1700777408637872,Even Better Havarti Cheese
2.1699254368932039,Club Sharp Cheddar Cheese
2.16877225950783,Tri-State Green Pepper
2.1681979289940827,Hilltop Mint Mouthwash
2.1640638408304498,Tri-State Red Delcious Apples
2.1636143835616437,High Quality Scented Toilet Tissue
2.1580802047781571,Skinner Mango Drink
2.1524873747494992,Tell Tale Asparagus
2.1495522388059705,Hilltop 200 MG Ibuprofen
2.1492529999999999,Nationeel Raspberry Fruit Roll
2.1490064257028116,Tri-State Sweet Peas
2.1415813559322037,Red Spade Foot-Long Hot Dogs
